"TITLE","DESCRIPTION","LINK","DOMAIN"
"Seattle.gov Home","Official city government site. Citizen, business, and visitor information sections, plus city government information.","www.seattle.gov/","seattle.gov"
"Seattle - Wikipedia","Seattle is a seaport city on the west coast of the United States and the seat of King County, Washington. With an estimated 684,451 residents as of 2015, Seattle ...","https://en.wikipedia.org/wiki/Seattle","en.wikipedia.org"
"Visit Seattle Washington | Travel & Tourism | Official Site","Welcome to the official source for information on visiting Seattle, Washington. Lodging, entertainment, food/drink, sports, attractions & more.","www.visitseattle.org/","visitseattle.org"
"Seattle 2017: Best of Seattle, WA Tourism - TripAdvisor","Seattle Tourism: TripAdvisor has 403811 reviews of Seattle Hotels, Attractions, and Restaurants making it your best Seattle resource.","https://www.tripadvisor.com › United States › Washington (WA)","tripadvisor.com › United States › Washington (WA)"
"Seattle - Lonely Planet","Blink and it's changed: Seattle can be that ephemeral. Welcome to a city that pushes the envelope, embraces new trends and plots a path toward the...","https://www.lonelyplanet.com/usa/seattle","lonelyplanet.com"
"The Seattle Times | Local news, sports, business, politics ...","Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest.","www.seattletimes.com/","seattletimes.com"
"Things to do in Seattle, Washington | Facebook","Discover Seattle, Washington with the help of your friends. Search for restaurants, hotels, museums and more.","https://www.facebook.com/places/Things-to-do-in-Seattle.../110843418940484/","facebook.com"
"Seattle travel guide - Wikitravel","Open source travel guide to Seattle, featuring up-to-date information on attractions, hotels, restaurants, nightlife, travel tips and more. Free and reliable advice ...","wikitravel.org/en/Seattle","wikitravel.org"
"Seattle Magazine |","Monthly covering the lifestyles, issues and people of Seattle and its metropolitan area.","www.seattlemag.com/","seattlemag.com"
,,,
