"TITLE","DESCRIPTION","LINK","DOMAIN"
"Home | Monero - secure, private, untraceable","Monero is a decentralized cryptocurrency, meaning it is secure digital cash operated by a network of users. Transactions are confirmed by distributed consensus and then immutably recorded on the blockchain.","https://getmonero.org/","getmonero.org"
"Monero (XMR) price, charts, market cap, and other metrics ...","Get Monero price, charts, and other cryptocurrency info.","https://coinmarketcap.com/currencies/monero/","coinmarketcap.com"
"Monero (XMR) Coin News, Guides & Reviews – Monero.org","Apr 23, 2018 - Monero is the 9th cryptocurrency based on market capitalization. Monero is designed to be private, secure and untraceable cryptocurrency. Official ticker is XMR, read more about other forked Monero coins.","https://monero.org/","monero.org"
"Monero (cryptocurrency) - Wikipedia","Monero (XMR) is an open-source cryptocurrency created in April 2014 that focuses on privacy and decentralization that runs on Windows, macOS, Linux, Android, iOS, and FreeBSD. Monero uses a public ledger to record transactions while new units are created through a process called mining.","https://en.wikipedia.org/wiki/Monero_(cryptocurrency)","en.wikipedia.org"
"Check out the Latest News on Monero | Cointelegraph","Read the latest news about Monero to learn more about this altcoin. The most recent events, points of view, reveals, price dips and jumps and more...","https://cointelegraph.com/tags/monero","cointelegraph.com"
"Monero Privacy Protections Aren't as Strong as They Seem | WIRED","Mar 27, 2018 - Researchers point out serious gaps in the privacy promises of stealth cryptocoin Monero.","https://www.wired.com/story/monero-privacy/","wired.com"
"What is Monero? Most Comprehensive Guide 2018 - Blockgeeks","According to Monero's site: Monero is a secure, private and untraceable currency system. Monero uses a special kind of cryptography to ensure that all of its ...","https://blockgeeks.com/guides/what-is-monero/","blockgeeks.com"
"Leadership Shifts to Usher in New Era for Monero Cryptocurrency ...","May 27, 2018 - Monero is gearing up to decentralize all over again. Since the cryptocurrency launched in 2014, its gregarious South African project lead, ...","https://www.coindesk.com › Features","coindesk.com › Features"
"Monero (XMR) Price, Chart, Info | CoinGecko","What is Monero? Monero (XMR) is a new privacy-centric cryptocurrency based on the CryptoNote protocol, a secure, private and untraceable currency system.","https://www.coingecko.com/en/coins/monero","coingecko.com"
,,,
,,,
